kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
50VGLS,2004-01-09,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
BPDJ63,2004-01-09,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
90NLVN,2004-02-12,DAEWOO,Personenauto,BLAUW,Benzine
MFTX88,2004-02-07,HONDA,Motorfiets,N.v.t.,Benzine
72NSVR,2004-02-12,RENAULT,Personenauto,BLAUW,Benzine
46JFBZ,2004-02-13,TOYOTA,Personenauto,ROOD,Benzine
21NPBT,2004-01-07,VOLKSWAGEN,Personenauto,GRIJS,Benzine
17NRHB,2004-01-10,TOYOTA,Personenauto,GRIJS,Benzine
03NNNF,2004-01-13,VOLKSWAGEN,Personenauto,ZWART,Benzine
XZ7439,2004-01-28,YAMAHA,Motorfiets,N.v.t.,Benzine
09FPGZ,2004-01-16,SUZUKI,Personenauto,GROEN,Benzine
MG12BF,2004-01-30,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
NLRL40,2004-01-16,BMW,Personenauto,BLAUW,Benzine
MFPG65,2004-01-31,HONDA,Motorfiets,N.v.t.,Benzine
77NSKT,2004-01-30,TOYOTA,Personenauto,GRIJS,Benzine
FFSL81,2004-02-12,AUTO UNION,Personenauto,ROOD,Benzine
MS50BK,2004-02-12,SUZUKI,Motorfiets,N.v.t.,Benzine
22FVGK,2004-01-05,TOYOTA,Personenauto,ROOD,Benzine
AE5346,2004-01-24,TRIUMPH,Personenauto,GROEN,Benzine
MS53KS,2004-01-06,KAWASAKI,Motorfiets,N.v.t.,Benzine
RGBZ70,2004-01-22,OPEL,Personenauto,GROEN,Benzine
VNXB99,2004-01-02,LAND ROVER,Bedrijfsauto,N.v.t.,Diesel
92NPRG,2004-01-22,LEXUS,Personenauto,GRIJS,Benzine
19LDTF,2004-01-15,SUZUKI,Personenauto,ROOD,Benzine
ML59DF,2004-01-17,HONDA,Motorfiets,N.v.t.,Benzine
XNPG74,2004-01-30,TOYOTA,Personenauto,BLAUW,Benzine
MFGX96,2004-01-17,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
94LGPS,2004-01-16,SEAT,Personenauto,ZWART,Benzine
51NSFJ,2004-01-23,OPEL,Personenauto,BLAUW,Benzine
75GVDN,2004-01-20,HONDA,Personenauto,GROEN,Benzine
MFSZ21,2004-01-20,HONDA,Motorfiets,N.v.t.,Benzine
81NNJN,2004-01-20,RENAULT,Personenauto,GRIJS,Benzine
70DRVL,2004-01-17,MERCEDES-BENZ,Personenauto,GROEN,Benzine/LPG
38NRDJ,2004-01-08,SUZUKI,Personenauto,GRIJS,Benzine
16NNZX,2004-01-05,TOYOTA,Personenauto,ROOD,Benzine
86DLPT,2004-01-27,MERCEDES-BENZ,Personenauto,GRIJS,Benzine/LPG
32HGVF,2004-02-13,PEUGEOT,Personenauto,GRIJS,Benzine
ML26PX,2004-02-07,KAWASAKI,Motorfiets,N.v.t.,Benzine
RJ46ZR,2004-01-15,CITROEN,Personenauto,BLAUW,Benzine
BE5219,2004-01-27,AUSTIN,Bedrijfsauto,N.v.t.,Benzine
09NPPX,2004-01-09,OPEL,Personenauto,GRIJS,Benzine
LJLG33,2004-02-05,DATSUN,Personenauto,BRUIN,Benzine
MJTX73,2004-01-09,HONDA,Motorfiets,N.v.t.,Benzine
BH64HG,2004-01-28,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
38NPPR,2004-01-16,HYUNDAI,Personenauto,BLAUW,Benzine
60NNRS,2004-01-05,FORD,Personenauto,GRIJS,Benzine
46VFVG,2004-01-09,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
3384NG,2004-01-28,RENAULT,Personenauto,WIT,Benzine
32BKXB,2004-01-15,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
93NNLV,2004-01-02,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
40DNJD,2004-01-02,RENAULT,Personenauto,BLAUW,Diesel
37NRPJ,2004-01-23,VOLVO,Personenauto,BLAUW,Benzine
MZ02RL,2004-02-03,SUZUKI,Motorfiets,N.v.t.,Benzine
TP11TN,2004-01-13,TOYOTA,Personenauto,ZWART,Benzine
98NTBZ,2004-02-10,TOYOTA,Personenauto,ZWART,Benzine
39NRTL,2004-01-21,TOYOTA,Personenauto,BLAUW,Benzine
72NRFK,2004-01-17,TOYOTA,Personenauto,BLAUW,Benzine
VR92SP,2004-01-02,SUZUKI,Bedrijfsauto,N.v.t.,Benzine
84BHTB,2004-01-31,LAND ROVER,Bedrijfsauto,N.v.t.,Diesel
MX5515,2004-01-20,OPEL,Personenauto,ZWART,Benzine
VD84FX,2004-01-30,INTERNATIONAL,Bedrijfsauto,N.v.t.,Benzine/LPG
68BLFN,2004-01-15,NISSAN,Bedrijfsauto,N.v.t.,Diesel
93YA98,2004-01-05,LAND ROVER,Personenauto,BRUIN,Diesel
